78354,11735,17777,11738,10247,10149,11932,11975,170,0,0,255
78854,11746,17839,11741,10248,10145,11933,11975,170,0,0,255
79354,11755,17872,11754,10250,10148,11933,11975,170,0,0,255
79854,11760,17875,11766,10252,10150,11932,11975,170,0,0,255
80354,11775,17923,11770,10249,10148,11933,11974,170,0,0,255
80854,11778,17963,11780,10246,10148,11932,11972,170,0,0,255
81354,11787,17999,11785,10252,10149,11931,11975,170,0,0,255
81854,11791,18019,11795,10251,10150,11934,11974,170,0,0,255
82354,11807,18051,11806,10249,10149,11932,11975,170,0,0,255
82854,11817,18076,11816,10252,10152,11933,11976,170,0,0,255
83354,11822,18111,11822,10251,10151,11930,11976,170,0,0,255
83854,11835,18106,11831,10249,10153,11930,11976,170,0,0,255
84354,11836,18165,11842,10254,10155,11931,11974,170,0,0,255
84854,11849,18191,11845,10257,10152,11933,11975,170,0,0,255
85354,11852,18220,11859,10254,10153,11933,11976,170,0,0,255
85854,11863,18207,11865,10256,10154,11932,11974,170,0,0,255
86354,11870,18277,11872,10254,10154,11932,11976,170,0,0,255
86854,11875,18293,11885,10255,10155,11933,11973,170,0,0,255
87354,11890,18319,11895,10257,10155,11933,11973,170,0,0,255
87854,11892,18376,11901,10257,10157,11932,11977,170,0,0,255
88354,11905,18384,11907,10257,10157,11932,11977,170,0,0,255
88854,11912,18431,11914,10259,10157,11932,11974,170,0,0,255
89354,11927,18403,11930,10262,10159,11932,11975,170,0,0,255
89854,11933,18420,11936,10259,10160,11933,11974,170,0,0,255
90354,11938,18516,11942,10258,10159,11932,11974,170,0,0,255
90854,11942,18536,11951,10259,10164,11934,11977,170,0,0,255
91354,11954,18556,11960,10260,10158,11933,11977,170,0,0,255
91854,11962,18595,11968,10260,10158,11931,11977,170,0,0,255
92354,11968,18646,11972,10262,10162,11931,11975,170,0,0,255
92854,11984,18659,11985,10264,10164,11932,11974,170,0,0,255
93354,11987,18652,11994,10262,10162,11932,11974,170,0,0,255
93854,11993,18716,12003,10263,10163,11932,11975,170,0,0,255
94354,11999,18687,12014,10265,10165,11933,11975,170,0,0,255
94854,12012,18766,12019,10266,10166,11931,11975,170,0,0,255
95354,12017,18750,12033,10267,10162,11933,11973,170,0,0,255
95854,12025,18824,12042,10265,10167,11932,11974,170,0,0,255
